stat_id,height,lat,lon,date_start,date_end,locale
540,635,48.4618,9.8361,19990129,20010331,Blaustein-Bermaringen
541,8,53.2902,10.7318,19880701,20061231,Bleckede
543,279,51.4387,10.5706,19520501,19540731,Bleicherode
544,92,53.2024,12.3345,19090701,20051231,Blesendorf
545,255,49.2367,7.2528,19841220,20041231,Blieskastel
547,420,48.6326,10.6218,19731206,20051231,Blindheim
548,707,47.8422,8.5362,19790316,20080831,Blumberg
549,75,52.6067,13.6049,19880601,20051231,"Blumberg, Kreis Barnim"
556,123,51.4833,7.25,19680901,19801231,Bochum-Altenbochum
557,99,51.4667,7.3167,19620701,19801231,Bochum-Langendreer
559,509,50.5399,12.6853,19390101,20080731,Bockau
563,238,50.2649,10.0827,19551101,20051231,"Bocklet, Bad"
564,66,53.0963,12.3137,19510801,20051231,Boddin-Langnow-Heidelberg
565,896,47.6844,10.4119,19380401,20051231,Durach-Bodelsberg
566,282,51.6929,9.4547,19560801,20061231,Bodenfelde (Forsthaus Winnefeld)
569,464,48.4241,12.4054,19870101,20010630,Bodenkirchen-Aich
571,64,52.8379,10.6751,19850101,20061231,"Bodenteich, Bad"
573,415,47.7949,9.0457,19450501,20011231,Bodman-Ludwigshafen
574,640,47.7167,9.6833,19670101,20031231,Bodnegg-Billen
575,744,47.753,10.9865,19760101,20051231,Böbing
576,445,48.6759,8.9732,19060701,20041231,Böblingen
577,488,48.8667,11.3667,19670422,19710331,Böhmfeld
578,379,48.9451,11.3667,19510301,19661231,Böhming
580,64,53.4054,12.7861,19660501,20031231,Boek
585,34,52.6892,12.935,19810701,20101231,"Börnicke, Kreis Havelland"
586,360,50.8241,11.0589,19510101,20071231,Bösleben
587,928,48.1063,8.8032,19840701,20031231,Böttingen
588,105,51.752,9.3953,19920501,19960731,Boffzen
597,456,48.5251,8.8329,19790201,20010102,Bondorf
599,62,50.7049,7.1439,19320101,19691014,Bonn-Friesdorf
605,850,47.8167,8.3333,19840626,19861031,Bonndorf/Schwarzwald (Martinstr.)
609,575,48.9048,10.3135,19510801,19580930,Bopfingen-Baldern
614,240,51.5768,9.305,19500501,19620531,Borgentreich-Bühne
616,13,54.3333,9.7167,19510101,19730731,Borgstedt
618,172,51.064,9.2956,19611101,20021231,Borken/Hessen-Gombeth
621,440,50.3127,6.826,19520501,19971231,Borler
623,135,51.15,12.4667,19650101,19941231,Borna (Speicherbecken)
625,40,54.0667,10.2333,19310101,20071231,Bornhöved
626,80,51.9797,12.2066,19910501,20061231,Bornum
629,47,54.089,10.4845,19940101,20061231,Bosau-Hutzfeld
631,38,51.55,6.95,19550101,19871231,Bottrop
632,140,51.589,9.9232,19500401,20041231,Bovenden
637,115,51.5668,12.0677,19990601,20070630,Petersberg-Hohen
641,390,50.9407,13.2194,19380101,20060131,Oberschöna-Bräunsdorf
642,1,53.3218,8.4779,19660101,19730114,Brake
643,0,53.296,8.4529,19931101,19941231,Brake-Süderfeld
646,15,53.9362,9.9532,19970701,20070531,"Bramstedt, Bad-Bimöhlen"
648,9,53.8551,9.7152,19630501,20061231,Brande-Hörnerkirchen
650,31,52.4261,12.5748,19460601,19461016,Brandenburg-Görden
652,405,49.535,10.7493,19470606,19910630,Hagenbüchach
655,320,50.8007,12.2268,19700101,20061231,Braunichswalde
658,600,51.6667,10.6667,19550101,19930630,Braunlage-Hohegeiß (A)
